SP500,AAPL,AMZN,FB,GOOG,MSFT
2353.6001,143.61,889.5,141.9867,837.05,65.485
2354.21,143.6,889.5447,142.03,837.41,65.47
2354.0701,143.65,889.64,142.0844,837.69,65.485
2353.6499,143.62,889.77,142.072,837.625,65.475
2354.21,143.58,889.53,142.07,837.18,65.4632
2354.0801,143.6,889.75,142.0847,837.5,65.46
2356.0801,143.5786,889.65,142.0801,837.56,65.455
2356.6499,143.675,890.45,142.157,838.3599,65.51
2357.01,143.72,890.49,142.18,838.11,65.53
2357.1299,143.7142,890.455,142.215,838.56,65.53
2357.45,143.71,890.37,142.2338,838.5351,65.515
2357.2,143.725,890.4119999999999,142.23,838.82,65.545
2356.7,143.7,890.27,142.22,838.83,65.53
2357.04,143.67,890.5224,142.19,838.18,65.515
2357.0701,143.6847,890.66,142.22,838.4,65.535
2357.28,143.67,890.69,142.21,838.65,65.539
2357.45,143.6501,890.6635,142.21,838.5,65.515
2357.1699,143.69,891.01,142.23,838.5,65.53
2356.96,143.6772,891.08,142.21,838.53,65.54
2357.4299,143.67,891.1,142.2,838.57,65.545
2357.1001,143.69,890.96,142.19,838.68,65.54
2357.3501,143.6721,890.63,142.17,838.68,65.535
2357.2,143.69,890.61,142.1943,838.64,65.55
2356.8101,143.69,890.14,142.17,838.48,65.54
2356.8,143.7,890.4,142.2,838.08,65.53
2356.5901,143.6953,890.43,142.18,838.185,65.51
2357.79,143.6973,890.41,142.17,838.27,65.5
2357.3501,143.77,890.74,142.25,838.7443,65.505
2357.3,143.73,890.78,142.21,838.54,65.505
2357.03,143.769,890.93,142.23,838.46,65.52
2357.3201,143.745,890.9397,142.207,838.6,65.5
2356.71,143.7791,890.7,142.21,838.63,65.5152
2356.27,143.67,890.69,142.2,838.54,65.49
2356.6899,143.68,890.5,142.18,838.505,65.4765
2356.5601,143.6799,890.53,142.209,838.5,65.485
2357.1101,143.69,890.3960000000001,142.1953,838.67,65.485
2358.1101,143.75,890.75,142.24,838.9,65.505
2358.77,143.77,891.2,142.28,839.38,65.565
2359.01,143.8147,891.38,142.29,839.665,65.585
2359.05,143.82,891.49,142.3,839.94,65.605
2359.49,143.81,891.687,142.29,839.68,65.595
2359.25,143.8045,891.72,142.29,839.76,65.6
2359.45,143.7945,891.55,142.29,839.64,65.6
2359.02,143.773,891.3,142.26,839.6,65.59
2359.51,143.7691,891.13,142.25,839.26,65.575
2358.47,143.8,891.05,142.29,839.36,65.5999
2358.8101,143.7743,890.47,142.2207,839.005,65.56
2359.23,143.78,890.71,142.245,839.19,65.5648
2359.28,143.79,890.8056,142.25,839.21,65.58
2359.3101,143.82,891.32,142.235,839.53,65.6
2360.3,143.81,891.46,142.21,839.47,65.61
2359.1699,143.8699,892.18,142.29,840.16,65.63
2359.3501,143.84,891.95,142.27,839.76,65.6
2358.8601,143.856,892.028,142.3,840.14,65.605
2359.1799,143.81,891.89,142.27,839.55,65.59
2359.0801,143.8157,892.069,142.303,839.69,65.605
2357.47,143.8447,892.18,142.32,839.89,65.59
2357.48,143.79,891.6419999999999,142.2278,839.3,65.55
2358.1101,143.8,891.73,142.25,839.6,65.56
2357.6699,143.81,892.08,142.29,840.01,65.565
2357.8601,143.78,891.74,142.27,839.8,65.545
2357.74,143.81,891.82,142.295,839.71,65.55
2358.3899,143.7947,891.855,142.306,839.74,65.55
2359.02,143.82,892.33,142.33,840.02,65.57
2358.5701,143.8361,892.2785,142.37,840.45,65.585
2358.5,143.82,892.15,142.34,840.09,65.565
2359.1699,143.8,892.22,142.37,840.29,65.56
2358.7,143.85,892.91,142.38,840.67,65.585
2358.8401,143.79,892.57,142.34,840.32,65.5565
2358.3799,143.76,892.82,142.34,840.16,65.55
2359.25,143.75,892.5396,142.32,839.55,65.535
2359.3701,143.8,892.58,142.35,839.99,65.56
2359.3301,143.785,892.815,142.379,840.0,65.55
2359.3301,143.77,893.09,142.395,839.7,65.55
2359.4299,143.8,893.155,142.4,839.7599,65.555
